ID,Name,Gender,Degree,Experience,Marital Status,Dependents,Transportation,Housing,Basic,Allowance,Family
18,Ab,1,2,3,1,3,100,100,400,34,90
16,Ab,1,2,4,1,2,110,88,400,44,60
1,Ah,1,2,5,1,3,120,100,400,50,90
29,Ah,1,2,5,1,0,104,102,400,50,0
20,Ab,1,2,7,1,3,105,110,410,70,90
5,Ah,0,2,9,1,4,100,300,410,90,120
14,Ab,1,2,10,1,5,110,110,400,100,150
15,Ah,1,2,15,1,1,120,105,435,150,30
27,Ah,1,1,4,1,1,104,100,321,32,30
9,Ah,0,1,4,1,2,105,250,350,32,60
12,Ab,1,1,5,1,3,100,100,321,40,90
13,Ah,1,1,7,1,2,110,102,411,56,60
17,Ah,1,1,8,1,2,120,98,350,64,60
19,Ah,1,1,9,1,3,104,102,280,72,90
22,Ab,1,1,12,1,4,105,105,310,96,120
38,Ab,1,1,12,1,5,100,230,350,96,150
23,Ah,1,1,13,1,4,110,88,350,104,120
4,Ab,0,1,13,1,4,120,280,280,104,120
11,Ah,0,1,14,1,6,104,250,380,112,180
10,Ab,0,3,4,1,4,105,250,480,60,120
25,Ah,1,3,13,1,4,100,98,480,195,120
3,Ah,1,2,4,0,0,100,110,400,45,0
33,Ah,1,2,6,0,0,110,98,400,60,0
36,Ab,1,2,6,0,0,120,250,420,60,0
31,Ah,1,2,8,0,0,104,105,400,80,0
35,Ah,1,2,8,0,0,105,102,410,80,0
21,Ah,0,2,10,0,0,100,110,420,100,0
28,Ab,0,2,20,0,0,110,98,411,160,0
8,Ab,1,1,4,0,0,120,98,350,32,0
32,Ab,1,1,8,0,0,104,88,350,64,0
24,Ab,0,1,8,0,0,105,105,350,64,0
34,Ab,1,1,9,0,0,100,100,280,72,0
26,Ab,0,1,9,0,0,110,88,380,72,0
6,Ab,1,1,12,0,0,120,105,420,96,0
37,Ah,0,1,12,0,0,104,100,310,96,0
30,Ab,1,1,14,0,0,105,110,435,112,0
2,Ab,1,1,20,0,0,100,90,350,160,0
7,Ah,1,1,21,0,0,110,88,310,168,0
